"mal_id","dub_status_de"
278,"dubbed, partially dubbed"
279,"dubbed"
280,"dubbed"
282,"unknown"
283,"dubbed"
284,"dubbed"
285,"dubbed"
286,"dubbed"
287,"dubbed"
288,"dubbed"
289,"dubbed"
290,"dubbed"
291,"unknown"
292,"dubbed"
293,"dubbed"
295,"dubbed"
296,"dubbed"
297,"dubbed"
298,"dubbed"
301,"dubbed"
302,"dubbed"
303,"dubbed"
307,"dubbed, partially dubbed"
308,"dubbed"
309,"unknown"
310,"dubbed"
311,"unknown"
318,"dubbed"
322,"dubbed"
324,"dubbed"
325,"dubbed"
326,"dubbed"
327,"dubbed"
328,"dubbed"
329,"dubbed"
331,"unknown"
332,"unknown"
333,"unknown"
334,"dubbed"
335,"dubbed"
336,"unknown"
337,"unknown"
338,"unknown"
339,"dubbed"
340,"dubbed"
341,"dubbed"
342,"dubbed"
343,"dubbed"
344,"dubbed"
345,"dubbed"
346,"unknown"
347,"dubbed"
348,"dubbed"
349,"unknown"
350,"dubbed"
351,"unknown"
352,"unknown"
353,"unknown"
355,"dubbed"
356,"dubbed"
360,"dubbed"
364,"unknown"
370,"dubbed"
375,"dubbed"
379,"dubbed"
383,"dubbed"
385,"dubbed"
386,"unknown"
387,"dubbed"
388,"unknown"
390,"dubbed"
392,"dubbed"
394,"dubbed"
396,"dubbed"
397,"dubbed"
406,"unknown"
407,"dubbed"
411,"dubbed"
417,"dubbed"
419,"dubbed"
421,"dubbed"
424,"dubbed"
427,"dubbed"
435,"dubbed"
440,"dubbed"
444,"dubbed"
445,"unknown"
446,"dubbed"
447,"dubbed"
455,"dubbed"
456,"dubbed"
457,"dubbed"
467,"dubbed"
469,"dubbed"
470,"unknown"
471,"unknown"
472,"dubbed"
473,"dubbed"
476,"dubbed"
477,"dubbed"
478,"dubbed"
479,"dubbed"
481,"dubbed"
482,"dubbed, partially dubbed"
483,"dubbed"
485,"unknown"
486,"dubbed"
488,"dubbed"
489,"dubbed"
490,"dubbed"
495,"dubbed"
501,"unknown"
505,"unknown"
506,"unknown"
508,"dubbed, partially dubbed"
509,"dubbed"
511,"dubbed"
516,"dubbed, partially dubbed"
518,"dubbed, partially dubbed"
519,"unknown"
521,"dubbed"
525,"dubbed"
527,"dubbed"
529,"dubbed"
530,"dubbed"
532,"dubbed"
533,"dubbed"
534,"dubbed"
535,"dubbed"
538,"dubbed"
545,"dubbed"
546,"unknown"
550,"unknown"
551,"dubbed"
552,"dubbed"
553,"dubbed"
558,"unknown"
561,"dubbed"
563,"dubbed"
567,"dubbed"
568,"dubbed"
569,"dubbed"
573,"dubbed"
576,"dubbed"
577,"unknown"
579,"unknown"
580,"unknown"
582,"unknown"
584,"dubbed"
586,"dubbed"
587,"unknown"
589,"unknown"
590,"unknown"
592,"unknown"
593,"dubbed"
598,"dubbed"
600,"unknown"
603,"dubbed"
604,"dubbed"
605,"dubbed, partially dubbed"
606,"dubbed"
607,"unknown"
611,"unknown"
612,"unknown"
613,"unknown"
614,"unknown"
616,"unknown"
618,"dubbed"
620,"dubbed"
623,"dubbed"
626,"unknown"
627,"unknown"
630,"dubbed"
633,"unknown"
634,"dubbed"
635,"dubbed"
636,"dubbed"
646,"unknown"
648,"unknown"
652,"dubbed"
653,"dubbed"
655,"dubbed, partially dubbed"
658,"unknown"
667,"dubbed"
670,"unknown"
671,"unknown"
677,"unknown"
678,"dubbed"
682,"dubbed"
684,"unknown"
685,"unknown"
687,"dubbed, partially dubbed"
688,"unknown"
690,"dubbed"
691,"unknown"
693,"dubbed"
694,"unknown"
696,"dubbed"
706,"dubbed"
708,"unknown"
709,"unknown"
710,"dubbed"
712,"unknown"
714,"unknown"
721,"dubbed"
727,"unknown"
729,"unknown"
738,"dubbed, partially dubbed"
740,"dubbed"
744,"dubbed"
749,"unknown"
750,"dubbed"
751,"unknown"
754,"unknown"
763,"dubbed"
764,"dubbed"
771,"unknown"
776,"dubbed"
782,"dubbed"
783,"dubbed"
786,"unknown"
789,"dubbed"
790,"dubbed"
795,"unknown"
798,"unknown"
799,"unknown"
800,"dubbed"
801,"dubbed"
810,"unknown"
812,"dubbed"
813,"dubbed"
817,"unknown"
831,"dubbed"
833,"dubbed"
835,"unknown"
836,"dubbed"
838,"dubbed"
840,"dubbed"
845,"dubbed"
846,"dubbed"
849,"dubbed"
850,"unknown"
852,"unknown"
853,"dubbed"
854,"unknown"
855,"unknown"
856,"dubbed"
858,"unknown"
859,"dubbed"
860,"dubbed"
861,"dubbed"
863,"unknown"
865,"unknown"
872,"dubbed"
873,"dubbed"
874,"dubbed"
876,"dubbed"
878,"dubbed"
879,"unknown"
880,"dubbed"
888,"dubbed"
889,"dubbed"
890,"dubbed"
907,"unknown"
909,"dubbed"
910,"unknown"
912,"unknown"
913,"unknown"
915,"unknown"
916,"dubbed"
