"tm_ky","studio_id","studio_de"
2,65,"Tokyo Movie Shinsha"
2,68,"Mushi Production"
2,70,"Nomad"
2,72,"Artmic"
2,73,"TMS Entertainment"
2,75,"Imagin"
2,77,"APPP"
2,78,"Picture Magic"
2,79,"Genco"
2,80,"Trans Arts"
2,81,"Radix"
2,83,"AIC Spirits"
2,86,"Group TAC"
2,88,"AIC ASTA"
2,89,"BeSTACK"
2,91,"feel."
2,93,"Studio Flag"
2,94,"Telecom Animation Film"
2,95,"Doga Kobo"
2,96,"Yumeta Company"
2,101,"Studio Hibari"
2,103,"Tatsunoko Production"
2,107,"Plum"
2,110,"Triangle Staff"
2,111,"NHK"
2,112,"Brain's Base"
2,118,"SynergySP"
2,120,"TNK"
2,122,"Tokyo Kids"
2,126,"Studio Comet"
2,131,"G&G Entertainment"
2,132,"P.A. Works"
2,136,"Vega Entertainment"
2,139,"Nihon Ad Systems"
2,150,"Sanrio"
2,154,"E&G Films"
2,163,"asread."
2,169,"Fuji TV"
2,175,"Planet"
2,176,"Ginga Ya"
2,177,"Studio Kyuuma"
2,179,"A.C.G.T."
2,191,"Eiken"
2,196,"Production Reed"
2,198,"Gakken"
2,199,"Studio Nue"
2,200,"Tezuka Productions"
2,207,"Magic Bus"
2,218,"Zexcs"
2,226,"Panmedia"
2,228,"Daewon Media"
2,235,"Shirogumi"
2,242,"Ashi Production"
2,246,"Visual 80"
2,247,"Shin-Ei Animation"
2,249,"Robot Communications"
2,256,"Studio Kikan"
2,271,"Barnum Studio"
2,276,"DLE"
2,280,"Studio Junio"
2,281,"Kokusai Eigasha"
2,287,"David Production"
2,288,"Kaname Productions"
2,290,"Kinema Citrus"
2,291,"CoMix Wave Films"
2,292,"AIC PLUS+"
2,300,"SILVER LINK."
2,309,"GoHands"
2,311,"Enoki Films"
2,314,"White Fox"
2,315,"DAX Production"
2,318,"WAO World"
2,322,"Bee Media"
2,325,"Code"
2,326,"Animation 21"
2,329,"Phoenix Entertainment"
2,330,"Kanaban Graphics"
2,333,"TYO Animations"
2,334,"Ordet"
2,338,"Studio Bogey"
2,340,"Future Planet"
2,346,"Hoods Entertainment"
2,354,"Encourage Films"
2,358,"Telescreen"
2,363,"Topcraft"
2,367,"Heewon Entertainment"
2,374,"Plus Heads"
2,385,"Tele-Cartoon Japan"
2,386,"Animaruya"
2,390,"Tsuchida Productions"
2,397,"Bridge"
2,398,"Milky Cartoon"
2,400,"Gathering"
2,406,"Asahi Production"
2,409,"Studio Egg"
2,413,"Pastel"
2,418,"Studio Gokumi"
2,420,"ACC Production"
2,432,"Kachidoki Studio"
2,433,"View Works"
2,435,"Studio Zero"
2,436,"AIC Build"
2,437,"Kamikaze Douga"
2,439,"Project No.9"
2,441,"8bit"
2,442,"Minami Machi Bugyousho"
2,443,"Studio PuYUKAI"
2,444,"Jinnis Animation Studios"
2,452,"Knack Productions"
2,455,"Palm Studio"
2,456,"Lerche"
2,462,"Chaos Project"
2,463,"M.S.C"
2,466,"Digital Media Lab"
2,471,"Shanghai Animation Film Studio"
2,473,"Ascension"
2,474,"Shogakukan Music & Digital Entertainment"
2,478,"Studio Blanc"
2,486,"Digital Frontier"
2,517,"Asmik Ace"
2,521,"Anpro"
2,523,"SBS TV Production"
2,537,"SANZIGEN"
2,541,"Seven"
2,553,"Marvy Jack"
2,563,"LandQ studios"
2,565,"LMD"
2,569,"MAPPA"
2,577,"Tohokushinsha Film Corporation"
2,581,"Sparky Animation"
2,583,"Annapuru"
2,587,"Tomason"
2,589,"Academy Productions"
2,601,"ixtl"
2,605,"C2C"
2,607,"RAMS"
2,629,"Studio Sign"
2,715,"Dwango"
2,721,"GANSIS"
2,723,"Hotline"
2,753,"PRA"
2,803,"Trigger"
2,805,"AIC Frontier"
2,833,"Kyotoma"
2,839,"LIDENFILMS"
2,848,"Kazami Gakuen Koushiki Douga-bu"
2,852,"Nexus"
2,856,"Charaction"
2,858,"Wit Studio"
2,866,"Fanworks"
2,884,"Strawberry Meets Pictures"
2,890,"Karaku"
2,894,"Graphinica"
2,896,"Larx Entertainment"
2,898,"I.Gzwei"
2,911,"Passione"
2,929,"Animation Do"
2,939,"Tama Production"
2,949,"teamKG"
2,951,"NAZ"
2,957,"Connect"
2,1009,"Aubec"
2,1013,"Opera House"
2,1023,"Polygon Pictures"
2,1025,"Dongwoo A&E"
2,1037,"Japan Vistec"
2,1045,"Space Neko Company"
2,1053,"Production IMS"
2,1065,"Public & Basic"
2,1067,"Rising Force"
2,1075,"C-Station"
2,1079,"3xCube"
2,1087,"Lay-duce"
2,1099,"Cyclone Graphics"
2,1103,"TROYCA"
2,1109,"Orange"
2,1111,"DandeLion Animation Studio"
2,1119,"Shuka"
2,1127,"Studio 3Hz"
2,1129,"Pierrot Plus"
2,1133,"dwarf"
2,1135,"FOREST Hunting One"
2,1153,"Image Kei"
2,1169,"ILCA"
2,1181,"RG Animation Studios"
2,1189,"Sola Digital Arts"
2,1191,"Azeta Pictures"
2,1195,"Creators in Pack"
2,1209,"Studio A-CAT"
2,1229,"Pie in the sky"
2,1231,"OLM Digital"
2,1237,"Millepensee"
2,1239,"KeyEast"
2,1244,"Studio VOLN"
2,1257,"A-Real"
2,1258,"Bandai Namco Pictures"
2,1260,"Nakamura Production"
2,1263,"Dynamo Pictures"
2,1264,"EMT Squared"
2,1265,"Tomovies"
2,1266,"Studio! Cucuri"
2,1271,"Assez Finaud Fabric"
2,1278,"Signal.MD"
2,1281,"Office DCI"
2,1290,"Pollyanna Graphics"
2,1291,"KOO-KI"
2,1292,"TUBA"
2,1295,"Pine Jam"
2,1296,"Marza Animation Planet"
2,1299,"AXsiZ"
2,1300,"Office Nobu"
2,1306,"AIC Classic"
2,1313,"Amuse"
2,1314,"Gaina"
2,1317,"Production GoodBook"
2,1320,"Joker Films"
2,1325,"Haoliners Animation League"
2,1340,"Typhoon Graphics"
2,1350,"B.CMAY PICTURES"
2,1353,"Issen"
2,1357,"Craftar Studios"
2,1360,"Hoods Drifters Studio"
2,1363,"Marine Entertainment"
2,1379,"Zero-G"
2,1380,"domerica"
2,1381,"GEMBA"
2,1383,"Studio Live"
2,1393,"Geno Studio"
2,1396,"W-Toon Studio"
2,1407,"Children's Playground Entertainment"
2,1436,"Stingray"
2,1437,"Ishimori Entertainment"
2,1440,"Felix Film"
2,1442,"Mook DLE"
2,1444,"Egg Firm"
2,1454,"REALTHING"
2,1456,"Beijing Huihuang Animation Company"
2,1471,"Platinum Vision"
2,1487,"Bouncy"
2,1509,"Studio World"
2,1512,"Dai-Ichi Douga"
2,1513,"Dongyang Animation"
2,1514,"Tengu Kobo"
2,1521,"Studio elle"
2,1529,"Studio M2"
2,1530,"Emon"
2,1536,"Namu Animation"
2,1545,"Japan Taps"
2,1547,"Blade"
2,1549,"Dai Nippon Printing"
2,1560,"Yaoyorozu"
2,1562,"Team YokkyuFuman"
2,1567,"Nut"
2,1569,"Seven Arcs Pictures"
2,1591,"Science SARU"
2,1661,"drop"
2,1662,"Creators Dot Com"
2,1669,"production doA"
2,1673,"DMM.futureworks"
2,1687,"Yokohama Animation Lab"
2,1690,"Imagineer"
2,1692,"Revoroot"
2,1693,"Studio Flad"
2,1722,"Bibury Animation Studios"
2,1754,"Meruhensha"
2,1766,"Husio Studio"
2,1768,"Sparkly Key Animation Studio"
2,1769,"helo.inc"
2,1794,"EKACHI EPILKA"
2,1797,"NHK Enterprises"
2,1813,"Studio Lings"
2,1828,"Lapin Track"
2,1829,"Lesprit"
2,1835,"CloverWorks"
2,1837,"G-angle"
2,1846,"Tokyo Movie"
2,1849,"MASTER LIGHTS"
2,1853,"Saetta"
2,1857,"GEEK TOYS"
2,1860,"Magia Doraglier"
2,1864,"Ez<U+03CC>la"
2,1872,"P.I.C.S."
2,1873,"Silver"
2,1874,"Arvo Animation"
2,1887,"Brio Animation"
2,1890,"Tear Studio"
2,1892,"Sublimation"
2,1893,"CygamesPictures"
2,1903,"IMAGICA Lab."
2,1927,"Studio Crocodile"
2,1939,"Alpha Animation"
2,1945,"Lide"
2,1947,"Kate Arrow"
2,1952,"Animation Staff Room"
2,1967,"Drive"
2,1971,"Gainax Kyoto"
2,1972,"HOTZIPANG"
2,1973,"Monster's Egg"
2,1974,"ENGI"
2,1978,"Maho Film"
2,1982,"LIDENFILMS Osaka Studio"
2,1983,"Anima&Co."
2,1984,"Bakken Record"
2,1993,"Studio Bind"
2,1997,"Studio Kai"
2,1998,"Studio Signpost"
2,1999,"Albacrow"
2,2004,"Sunrise Beyond"
2,2009,"Yostar Pictures"
2,2027,"Team TillDawn"
2,2034,"Akatsuki"
2,2037,"Okuruto Noboru"
2,2040,"Maro Studio"
2,2048,"ASK Animation Studio"
2,2052,"Wolfsbane"
2,2053,"l-a-unch·BOX"
2,2056,"DRAWIZ"
2,2057,"Toho Interactive Animation"
2,2080,"Super Normal Studio"
2,2085,"Acca effe"
2,2086,"Giga Production"
2,2097,"HORNETS"
2,2115,"Gosay Studio"
2,2129,"Visual Flight"
2,2134,"CANDY BOX"
2,2140,"Qianqi Animation"
2,2142,"LEVELS"
2,2201,"Studio Palette"
2,2204,"OZ"
2,2226,"Gambit"
2,2246,"studio MOTHER"
2,2248,"Indivision"
2,2256,"Kitty Film Mitaka Studio"
2,2257,"XEBEC M2"
2,2282,"Studio Guts"
2,2299,"GIFTanimation"
2,2300,"Studio Jemi"
2,2305,"Fukushima Gaina"
2,2306,"LIDENFILMS Kyoto Studio"
2,2314,"Quad"
2,2326,"OLM Team Yoshioka"
2,2342,"PP Project"
2,2366,"Kigumi"
2,2371,"Planet Cartoon"
3,1,"Studio Pierrot"
3,10,"Production I.G"
3,1009,"Aubec"
3,101,"Studio Hibari"
3,1013,"Opera House"
3,1023,"Polygon Pictures"
3,1025,"Dongwoo A&E"
3,103,"Tatsunoko Production"
3,1037,"Japan Vistec"
3,1045,"Space Neko Company"
3,1053,"Production IMS"
3,1065,"Public & Basic"
3,1067,"Rising Force"
3,107,"Plum"
3,1075,"C-Station"
3,1079,"3xCube"
3,1087,"Lay-duce"
3,1099,"Cyclone Graphics"
3,11,"Madhouse"
3,110,"Triangle Staff"
3,1103,"TROYCA"
3,1109,"Orange"
3,111,"NHK"
3,1111,"DandeLion Animation Studio"
3,1119,"Shuka"
3,112,"Brain's Base"
3,1127,"Studio 3Hz"
3,1129,"Pierrot Plus"
3,1133,"dwarf"
3,1135,"FOREST Hunting One"
3,1153,"Image Kei"
3,1169,"ILCA"
3,118,"SynergySP"
3,1181,"RG Animation Studios"
3,1189,"Sola Digital Arts"
3,1191,"Azeta Pictures"
3,1195,"Creators in Pack"
3,120,"TNK"
3,1209,"Studio A-CAT"
3,122,"Tokyo Kids"
3,1229,"Pie in the sky"
3,1231,"OLM Digital"
3,1237,"Millepensee"
3,1239,"KeyEast"
3,1244,"Studio VOLN"
3,1257,"A-Real"
3,1258,"Bandai Namco Pictures"
3,126,"Studio Comet"
3,1260,"Nakamura Production"
3,1263,"Dynamo Pictures"
3,1264,"EMT Squared"
3,1265,"Tomovies"
3,1266,"Studio! Cucuri"
3,1271,"Assez Finaud Fabric"
3,1278,"Signal.MD"
3,1281,"Office DCI"
3,1290,"Pollyanna Graphics"
3,1291,"KOO-KI"
3,1292,"TUBA"
3,1295,"Pine Jam"
3,1296,"Marza Animation Planet"
3,1299,"AXsiZ"
3,13,"Studio 4°C"
3,1300,"Office Nobu"
3,1306,"AIC Classic"
3,131,"G&G Entertainment"
3,1313,"Amuse"
3,1314,"Gaina"
3,1317,"Production GoodBook"
3,132,"P.A. Works"
3,1320,"Joker Films"
3,1325,"Haoliners Animation League"
3,1340,"Typhoon Graphics"
3,1350,"B.CMAY PICTURES"
3,1353,"Issen"
3,1357,"Craftar Studios"
3,136,"Vega Entertainment"
3,1360,"Hoods Drifters Studio"
3,1363,"Marine Entertainment"
3,1379,"Zero-G"
3,1380,"domerica"
3,1381,"GEMBA"
3,1383,"Studio Live"
3,139,"Nihon Ad Systems"
3,1393,"Geno Studio"
3,1396,"W-Toon Studio"
3,14,"Sunrise"
3,1407,"Children's Playground Entertainment"
3,1436,"Stingray"
3,1437,"Ishimori Entertainment"
3,1440,"Felix Film"
3,1442,"Mook DLE"
3,1444,"Egg Firm"
3,1454,"REALTHING"
3,1456,"Beijing Huihuang Animation Company"
3,1471,"Platinum Vision"
3,1487,"Bouncy"
3,150,"Sanrio"
3,1509,"Studio World"
3,1512,"Dai-Ichi Douga"
3,1513,"Dongyang Animation"
3,1514,"Tengu Kobo"
3,1521,"Studio elle"
3,1529,"Studio M2"
3,1530,"Emon"
3,1536,"Namu Animation"
3,154,"E&G Films"
3,1545,"Japan Taps"
3,1547,"Blade"
3,1549,"Dai Nippon Printing"
3,1560,"Yaoyorozu"
3,1562,"Team YokkyuFuman"
3,1567,"Nut"
3,1569,"Seven Arcs Pictures"
3,1591,"Science SARU"
3,163,"asread."
3,1661,"drop"
3,1662,"Creators Dot Com"
3,1669,"production doA"
3,1673,"DMM.futureworks"
3,1687,"Yokohama Animation Lab"
3,169,"Fuji TV"
3,1690,"Imagineer"
3,1692,"Revoroot"
3,1693,"Studio Flad"
3,1722,"Bibury Animation Studios"
3,175,"Planet"
3,1754,"Meruhensha"
3,176,"Ginga Ya"
3,1766,"Husio Studio"
3,1768,"Sparkly Key Animation Studio"
3,1769,"helo.inc"
3,177,"Studio Kyuuma"
3,179,"A.C.G.T."
3,1794,"EKACHI EPILKA"
3,1797,"NHK Enterprises"
3,18,"Toei Animation"
3,1813,"Studio Lings"
3,1828,"Lapin Track"
3,1829,"Lesprit"
3,1835,"CloverWorks"
3,1837,"G-angle"
3,1846,"Tokyo Movie"
3,1849,"MASTER LIGHTS"
3,1853,"Saetta"
3,1857,"GEEK TOYS"
3,1860,"Magia Doraglier"
3,1864,"Ez<U+03CC>la"
3,1872,"P.I.C.S."
3,1873,"Silver"
3,1874,"Arvo Animation"
3,1887,"Brio Animation"
3,1890,"Tear Studio"
3,1892,"Sublimation"
3,1893,"CygamesPictures"
3,1903,"IMAGICA Lab."
3,191,"Eiken"
3,1927,"Studio Crocodile"
3,1939,"Alpha Animation"
3,1945,"Lide"
3,1947,"Kate Arrow"
3,1952,"Animation Staff Room"
3,196,"Production Reed"
3,1967,"Drive"
3,1971,"Gainax Kyoto"
3,1972,"HOTZIPANG"
3,1973,"Monster's Egg"
3,1974,"ENGI"
3,1978,"Maho Film"
3,198,"Gakken"
3,1982,"LIDENFILMS Osaka Studio"
3,1983,"Anima&Co."
3,1984,"Bakken Record"
3,199,"Studio Nue"
3,1993,"Studio Bind"
3,1997,"Studio Kai"
3,1998,"Studio Signpost"
3,1999,"Albacrow"
3,2,"Kyoto Animation"
3,200,"Tezuka Productions"
3,2004,"Sunrise Beyond"
3,2009,"Yostar Pictures"
3,2027,"Team TillDawn"
3,2034,"Akatsuki"
3,2037,"Okuruto Noboru"
3,2040,"Maro Studio"
3,2048,"ASK Animation Studio"
3,2052,"Wolfsbane"
3,2053,"l-a-unch·BOX"
3,2056,"DRAWIZ"
3,2057,"Toho Interactive Animation"
3,207,"Magic Bus"
3,2080,"Super Normal Studio"
3,2085,"Acca effe"
3,2086,"Giga Production"
3,2097,"HORNETS"
3,21,"Studio Ghibli"
3,2115,"Gosay Studio"
3,2129,"Visual Flight"
3,2134,"CANDY BOX"
3,2140,"Qianqi Animation"
3,2142,"LEVELS"
3,218,"Zexcs"
3,22,"Nippon Animation"
3,2201,"Studio Palette"
3,2204,"OZ"
3,2226,"Gambit"
3,2246,"studio MOTHER"
3,2248,"Indivision"
3,2256,"Kitty Film Mitaka Studio"
3,2257,"XEBEC M2"
