"tm_ky","mal_id","recommendation_id","num_recommendations"
5,23273,1698,44
5,23273,9989,40
5,23273,4181,39
5,23273,12531,28
5,23273,27775,25
5,23273,6547,18
5,23273,33352,16
5,23273,13759,13
5,33352,46095,34
5,33352,37497,16
5,33352,23273,16
5,33352,35062,15
5,33352,28851,13
5,33352,35851,13
5,33352,28223,11
5,33352,41025,9
5,33352,27775,8
5,33352,4081,7
5,5258,170,2
5,5258,5226,1
5,5258,2922,1
5,5258,6114,1
5,5258,551,1
5,5258,15,1
5,5258,71,1
5,5258,287,1
5,5258,1559,1
5,28891,30230,3
5,28891,31559,3
5,28891,37962,2
5,28891,11771,2
5,28891,37965,1
5,28891,18689,1
5,28891,16894,1
5,28891,10800,1
5,28891,20583,1
5,28891,18507,1
5,40591,14813,4
5,40591,38992,1
5,40591,37510,1
5,40591,33487,1
5,40591,10110,1
5,40591,4224,1
5,40591,37171,1
5,40591,853,1
5,40591,1486,1
5,40591,918,1
5,11665,457,3
5,11665,10408,1
5,11665,10232,1
5,11665,2167,1
5,11665,861,1
5,11665,477,1
5,2001,18679,124
5,2001,30,34
5,2001,35849,28
5,2001,227,25
5,2001,237,24
5,2001,1002,20
5,2001,35848,19
5,2001,1575,18
5,2001,949,13
5,2001,6030,12
5,34591,10800,1
5,34591,9989,1
5,34591,457,1
5,21,6702,86
5,21,11061,64
5,21,20,40
5,21,918,23
5,21,223,22
5,21,813,16
5,21,10033,16
5,21,1735,15
5,21,34572,13
5,21,3588,12
5,35760,13125,2
5,35760,1889,1
5,35760,5114,1
5,35760,513,1
5,1535,1575,607
5,1535,19,100
5,1535,23283,89
5,1535,10620,74
5,1535,13601,66
5,1535,2904,48
5,1535,28223,48
5,1535,5040,44
5,1535,37779,40
5,1535,40911,39
5,22135,31646,11
5,22135,7785,11
5,22135,2154,6
5,22135,10800,5
5,22135,32182,5
5,22135,12531,4
5,22135,33031,3
5,22135,135,3
5,22135,2402,3
5,22135,20583,3
5,28735,12531,17
5,28735,32948,10
5,28735,31646,10
5,28735,7588,7
5,28735,7193,5
5,28735,1033,4
5,28735,10800,4
5,28735,13349,4
5,28735,877,3
5,28735,1203,2
5,19647,170,1
5,19647,1559,1
5,37991,27947,3
5,37991,11061,3
5,37991,1535,3
5,37991,36649,2
5,37991,10087,2
5,37991,31478,2
5,37991,37447,1
5,37991,34443,1
5,37991,9513,1
5,37991,134,1
5,32983,31646,2
5,32983,16,1
5,32983,9989,1
5,32983,32696,1
5,32983,10460,1
5,32983,31043,1
5,32983,457,1
5,32983,28957,1
5,10379,10049,2
5,10379,457,2
5,10379,10408,2
5,10379,477,1
5,10379,7592,1
5,10379,861,1
5,10379,6045,1
5,10379,14713,1
5,10379,10232,1
5,7785,1210,27
5,7785,5081,17
5,7785,34537,15
5,7785,6774,14
5,7785,22135,11
5,7785,17909,9
5,7785,2605,8
5,7785,227,8
5,7785,4382,5
5,7785,31043,5
5,11741,1535,3
5,11741,2593,3
5,11741,9756,3
5,11741,22729,2
5,11741,30,2
5,11741,13601,2
5,11741,1,2
5,11741,34662,2
5,11741,2251,1
5,11741,5356,1
5,40417,6408,1
5,40417,14813,1
5,40417,37962,1
5,40417,40716,1
5,40417,41025,1
