"tm_ky","mal_id","studio_id"
1,1470,14
1,1471,14
1,1472,14
1,1473,14
1,1482,73
1,1483,11
1,1485,1
1,1486,36
1,1490,175
1,1491,18
1,1492,73
1,1493,73
1,1498,86
1,1502,48
1,1508,77
1,1509,126
1,1516,118
1,1517,81
1,1519,11
1,1524,10
1,1530,2
1,1532,218
1,1533,28
1,1534,18
1,1535,11
1,1536,27
1,1537,18
1,1538,3
1,1538,48
1,1541,77
1,1542,14
1,1543,39
1,1546,44
1,1547,247
1,1548,18
1,1550,65
1,1554,7
1,1555,88
1,1557,37
1,1559,73
1,1561,88
1,1561,120
1,1562,22
1,1563,73
1,1564,28
1,1565,28
1,1567,73
1,1568,101
1,1569,91
1,1570,8
1,1571,7
1,1572,68
1,1573,37
1,1574,37
1,1575,14
1,1578,41
1,1579,96
1,1581,28
1,1583,1437
1,1587,4
1,1588,218
1,1589,455
1,1590,36
1,1591,30
1,1592,36
1,1594,37
1,1597,11
1,1599,37
1,1600,41
1,1601,3
1,1603,28
1,1604,8
1,1606,14
1,1607,101
1,1614,11
1,1614,86
1,1617,96
1,1618,7
1,1623,44
1,1623,120
1,1628,207
1,1638,22
1,1642,1
1,1650,86
1,1651,86
1,1652,589
1,1661,18
1,1663,22
1,1664,136
1,1666,18
1,1667,154
1,1668,11
1,1669,22
1,1672,11
1,1673,11
1,1674,126
1,1675,60
1,1676,136
1,1678,44
1,1678,112
1,1678,1037
1,1683,11
1,1684,44
1,1685,101
1,1685,179
1,1688,51
1,1690,3
1,1691,3
1,1693,10
1,1694,14
1,1695,22
1,1698,7
1,1699,3
1,1704,37
1,1705,154
1,1706,136
1,1707,18
1,1710,27
1,1711,120
1,1712,107
1,1712,2282
1,1713,136
1,1721,2257
1,1722,91
1,1724,126
1,1726,11
1,1727,176
1,1728,1
1,1735,1
1,1737,196
1,1738,94
1,1740,80
1,1744,101
1,1769,1
1,1771,18
1,1775,79
1,1775,81
1,1792,14
1,1808,41
1,1810,120
1,1812,607
1,1816,73
1,1823,1065
1,1826,28
1,1827,10
1,1835,27
1,1836,163
1,1837,43
1,1840,7
1,1842,101
1,1844,1
1,1845,18
1,1846,329
1,1848,14
1,1852,44
1,1853,18
1,1858,43
1,1860,83
1,1860,89
1,1864,41
1,1865,3
1,1868,18
1,1872,27
1,1873,288
1,1878,73
1,1881,83
1,1881,89
1,1882,83
1,1882,89
1,1883,78
1,1884,70
1,1885,3
1,1885,455
1,1886,7
1,1886,34
1,1887,2
1,1889,37
1,1891,27
1,1891,86
1,1892,86
1,1893,11
1,1897,14
1,1899,196
1,1912,122
1,1914,11
1,1915,35
1,1929,18
1,1932,18
1,1936,37
1,1942,1442
1,1946,18
1,1947,218
1,1955,13
1,1960,73
1,1962,86
1,1965,70
1,1972,36
1,1972,73
1,1974,65
1,1975,154
1,1985,18
1,1986,18
1,1988,38
1,2001,6
1,2002,27
1,2004,11
1,2011,37
1,2012,18
1,2014,37
1,2025,4
1,2026,118
1,2030,5
1,2031,37
1,2032,80
1,2034,18
1,2035,30
1,2036,22
1,2037,36
1,2038,1
1,2039,1
1,2040,196
1,2041,22
1,2043,65
1,2044,1
1,2075,191
1,2075,207
1,2076,18
1,2084,196
1,2087,196
1,2089,8
1,2104,3
1,2104,48
1,2105,37
1,2106,41
1,2108,27
1,2109,27
1,2110,27
1,2112,27
1,2113,103
1,2116,390
1,2127,14
1,2128,14
1,2129,132
1,2130,11
1,2142,1
1,2150,358
1,2151,1
1,2152,11
1,2153,122
1,2155,8
1,2156,73
1,2157,60
1,2158,122
1,2158,442
1,2159,56
1,2161,4
1,2162,78
1,2164,11
1,2165,18
1,2166,49
1,2167,2
1,2200,14
1,2203,18
1,2204,73
1,2213,200
1,2214,200
1,2215,112
1,2221,18
1,2222,18
1,2223,18
1,2224,103
1,2225,22
1,2226,22
1,2226,44
1,2227,18
1,2228,326
1,2229,18
1,2230,18
1,2231,2256
1,2244,120
1,2245,14
1,2246,18
1,2251,112
1,2252,18
1,2253,18
1,2254,14
1,2255,196
1,2257,14
1,2259,126
1,2281,86
1,2282,200
1,2283,65
1,2284,36
1,2285,27
1,2287,86
1,2288,196
1,2330,80
1,2331,73
1,2333,36
1,2335,413
1,2337,455
1,2361,1
1,2363,28
1,2369,218
1,2382,80
1,2383,94
1,2389,103
1,2390,126
1,2390,629
1,2391,14
1,2400,18
1,2402,68
1,2403,51
1,2404,2257
1,2405,18
1,2406,191
1,2409,80
1,2415,22
1,2416,22
1,2467,86
1,2471,247
1,2484,14
1,2487,196
1,2489,126
1,2495,11
1,2503,22
1,2508,38
1,2510,196
1,2518,8
1,2521,48
1,2523,63
1,2523,177
1,2542,65
1,2543,103
1,2544,22
1,2545,86
1,2546,22
1,2547,22
1,2548,22
1,2549,22
1,2552,86
1,2553,22
1,2554,22
1,2555,22
1,2557,22
1,2558,22
1,2559,22
1,2561,18
1,2562,37
1,2564,37
1,2565,68
1,2567,22
1,2569,22
1,2570,73
1,2571,22
1,2572,22
1,2573,22
1,2574,103
1,2576,22
1,2577,22
1,2579,22
1,2581,14
1,2582,14
1,2595,91
1,2596,10
1,2598,14
1,2602,8
1,2603,59
1,2604,7
1,2605,44
1,2608,179
1,2609,2342
1,2612,1
1,2613,22
1,2618,11
1,2618,73
1,2619,5
1,2619,451
1,2620,5
1,2624,73
1,2679,10
1,2679,11
1,2683,83
1,2683,89
1,2684,73
1,2686,191
1,2687,68
1,2688,103
1,2699,79
1,2699,110
1,2700,27
1,2700,79
1,2700,110
1,2702,27
1,2703,27
1,2704,27
1,2705,10
1,2705,27
1,2706,27
1,2707,30
1,2709,27
1,2713,27
1,2716,37
1,2717,175
1,2718,1952
1,2719,11
1,2723,39
1,2727,11
1,2736,28
1,2740,28
1,2741,28
1,2744,7
1,2747,68
1,2748,103
1,2748,939
1,2749,22
1,2757,44
1,2758,14
1,2762,86
1,2766,11
1,2769,11
1,2771,177
1,2771,256
1,2771,1191
1,2772,93
1,2781,110
1,2786,81
1,2787,7
1,2789,22
1,2799,18
1,2800,18
1,2803,14
1,2804,196
1,2804,406
1,2805,73
1,2809,103
1,2810,198
1,2813,358
1,2814,358
1,2815,358
1,2816,14
1,2816,18
1,2817,103
1,2818,14
1,2819,1
1,2819,126
1,2820,103
1,2820,196
1,2820,406
1,2822,358
1,2823,363
1,2824,1
1,2825,22
1,2826,226
1,2826,1754
1,2827,18
1,2828,11
1,2828,73
1,2829,22
1,2834,1545
1,2835,18
1,2836,22
1,2882,103
1,2885,80
1,2892,103
1,2903,18
1,2904,14
1,2907,338
1,2912,73
1,2913,22
1,2916,14
1,2921,65
1,2923,41
1,2924,44
1,2926,95
1,2927,7
1,2931,11
1,2931,200
1,2933,103
1,2934,81
1,2938,196
1,2942,34
1,2963,39
1,2964,89
1,2964,406
1,2965,37
1,2966,75
1,2970,34
1,2980,18
1,2985,11
1,2986,88
1,2987,14
1,3000,37
1,3001,94
1,3001,235
1,3002,11
1,3006,247
1,3008,103
1,3009,18
1,3010,242
1,3012,14
1,3020,18
1,3022,18
1,3023,247
1,3024,68
1,3035,196
1,3035,406
1,3036,86
1,3044,200
1,3053,1
1,3054,14
1,3059,1
1,3075,103
1,3079,14
1,3091,10
1,3092,37
1,3098,14
1,3099,14
1,3101,196
1,3110,22
1,3114,1
1,3125,86
1,3129,435
1,3129,1846
1,3130,247
1,3131,390
1,3132,22
1,3136,281
1,3137,22
1,3146,179
1,3151,1025
1,3159,18
1,3162,22
1,3166,122
1,3176,196
1,3182,96
1,3193,409
1,3194,358
1,3196,22
1,3199,22
1,3213,18
1,3225,163
1,3226,118
1,3228,44
1,3230,3
1,3231,8
1,3270,10
1,3271,22
1,3271,112
1,3272,18
1,3281,18
1,3285,18
1,3290,10
1,3295,103
1,3297,34
1,3298,37
1,3299,218
1,3305,14
1,3312,18
1,3313,280
1,3315,14
1,3317,22
1,3322,218
1,3325,14
1,3327,14
1,3335,22
1,3345,22
1,3349,41
1,3355,136
1,3356,18
1,3358,112
1,3359,37
1,3361,191
1,3361,1383
1,3363,10
1,3366,56
1,3369,18
1,3388,18
1,3389,521
1,3399,65
1,3407,3
1,3420,7
1,3424,22
1,3425,22
1,3432,14
1,3433,18
1,3434,22
1,3435,22
1,3435,196
1,3436,22
1,3437,14
1,3438,22
1,3444,14
1,3457,37
1,3460,22
1,3464,34
1,3467,51
1,3470,3
1,3470,48
1,3486,14
1,3493,27
1,3501,80
1,3505,14
1,3545,36
1,3549,11
1,3550,1
1,3561,22
1,3568,14
1,3571,103
1,3572,41
1,3573,83
1,3576,14
1,3577,70
1,3579,18
1,3588,4
1,3594,314
1,3604,44
1,3609,18
1,3613,10
1,3614,95
1,3615,96
1,3627,91
1,3630,18
1,3637,60
1,3637,112
1,3638,30
1,3653,3
1,3655,7
